ok,type,name,winery_name,area,size,vintage,price,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,SPARKLING,FRANCIACORTA BRUT SATEN D.O.C.G. BIO,BARONE PIZZINI,2-2,BOTTLE,2018,65,,,Satén Franciacorta,Barone Pizzini,wine_01gzr4ksct8de7tv33rh98x28c,1150697,47.62373
FALSE,SPARKLING,FRANCIACORTA DOSAGGIO ZERO D.O.C.G. ANIMANTE,BARONE PIZZINI,2-2,BOTTLE,,50,,,Animante Franciacorta Extra Brut,Barone Pizzini,wine_01gzr4ksctc3v9gsjyyxb2pnm1,2203345,45.709198
TRUE,SPARKLING,FRANCIACORTA EXTRA BRUT GOLF,BARONE PIZZINI,2-2,BOTTLE,,50,,,Golf 1927 Franciacorta,Barone Pizzini,wine_01gzr4ksctpg7xgfcd5g3n4mew,5563383,46.08034
FALSE,SPARKLING,FRANCIACORTA ROSE' D.O.C.G. EXTRA BRUTMILLESIMATO BIO,BARONE PIZZINI,2-2,BOTTLE,2018,70,,,Franciacorta Extra Dry,Barone Pizzini,wine_01gzr4ksctx15cy00ymde08eh3,1150695,43.654793
TRUE,SPARKLING,FRANCIACORTA BRUT D.O.C.G. CUVÉE ALMA,BELLAVISTA,2-5,BOTTLE,,60,,,Franciacorta Grande Cuvée Alma Brut,Bellavista,wine_01gzr4ktfz8rdfpgmgkvghev9h,,39.60987
TRUE,SPARKLING,CUVÉE PRESTIGE D.O.C.G. EXTRA BRUT 44ma EDIZIONE,CA' DEL BOSCO,2-5,BOTTLE,,75,,,Franciacorta 44a Edizione Cuvée Prestige,Ca' del Bosco,wine_01gzr4ksccqqnpgqa87nn43n5r,10158345,42.350376
FALSE,SPARKLING,TRENTODOC BRUT CUVÉE '85,CASATA MONFORT,,BOTTLE,,45,,,Rosé Brut,Casata Monfort,wine_01h0my5vwkgq14ns0bcz2kzcj6,,44.439354
TRUE,SPARKLING,TRENTODOC BRUT ROSE' D.O.C.,CASATA MONFORT,2-3,BOTTLE,,50,,,Rosé Brut,Casata Monfort,wine_01h0my5vwkgq14ns0bcz2kzcj6,,47.27006
FALSE,SPARKLING,FRANCIACORTA BLANC DE BLANCS NATURE BIO,CAVALLERI,3-4,BOTTLE,,55,,,Blanc de Blancs Franciacorta Brut,Cavalleri,wine_01gzr4ktse0n59hdwbtkb5sxj6,,40.69012
TRUE,SPARKLING,FRANCIACORTA PAS DOSE' DOSAGGIO ZERO BIO,CAVALLERI,3-4,BOTTLE,2018,70,,,Franciacorta Pas Dosé,Cavalleri,wine_01h0f3cmbtkwmev0q8m5tqm8n3,,42.920673
FALSE,SPARKLING,FRANCIACORTA ROSE' EXTRA BRUT MILLESIMATO BIO,CAVALLERI,3-4,BOTTLE,2018,75,,,Franciacorta Rosé,Cavalleri,wine_01h0qsxmzdsn08pg3s36exjjeh,,34.357616
TRUE,SPARKLING,FRANCIACORTA SATEN D.O.C.G. BIO,CAVALLERI,3-4,BOTTLE,2019,60,,,Satèn Franciacorta Brut,Cavalleri,wine_01h0qsxmzd11cmyk9ec4pz7f7v,,37.2272
TRUE,SPARKLING,TRENTODOC 708 EXTRA BRUTD.O.C.,CEMBRANI,2-3,BOTTLE,,65,,,708km Extra Brut,Cembrani,wine_01h4pmmfewe9mz61wrmb7yzp76,,37.526863
TRUE,SPARKLING,BRUT,D'ARAPRI',2-4,BOTTLE,,45,,,Brut,d'Arapri,wine_01gzr4ksgtxvt4z7fj6xbj67p4,2045719,32.510307
TRUE,SPARKLING,ROSE' BRUT,D'ARAPRI',2-4,BOTTLE,,55,,,Brut Rosè,d'Arapri,wine_01gzr4ksgtrrx315rpkp508g1p,2284053,34.743786
TRUE,SPARKLING,ALTA LANGA D.O.C.G. PARCELLAIRE EXTRABRUT,ENRICO SERAFINO,3-4,BOTTLE,2018,65,,,Alta Langa Parcellaire Extra Brut,Enrico Serafino,wine_01h0qzm08r4cd4qjw3mctgfyds,,55.65848
TRUE,SPARKLING,ALTA LANGA D.O.C.G. RISERVA PAS DOSE' MILLESIMATO BRUT 'ZERO',ENRICO SERAFINO,3-4,BOTTLE,2017,85,,,Zero Riserva Pas Dosé,Enrico Serafino,wine_01h0f3cmbt3hh86k2p7cg6yy81,,56.139294
TRUE,SPARKLING,ALTA LANGA OUDEIS BRUTD.O.C.G. Millesimato,ENRICO SERAFINO,3-4,BOTTLE,2018,50,,,Alta Langa Oudeis Brut,Enrico Serafino,wine_01h0my5t4j292kfk4zp4gbm4jh,,59.52454
TRUE,SPARKLING,ALTA LANGA OUDEIS BRUTD.O.C.G. Millesimato,ENRICO SERAFINO,3-5,MAGNUM,2018,50,,,Alta Langa Oudeis Brut,Enrico Serafino,wine_01h0my5t4j292kfk4zp4gbm4jh,,59.52454
TRUE,SPARKLING,SPUMANTE BRUT PERLE' MILLESIMATO,FERRARI,2-5,BOTTLE,,75,,,Perlé,Ferrari,wine_01gzr4ksccj35519kgnp4kw2ym,4972,29.24247
FALSE,SPARKLING,DUBL ESSE DOSAGGIO ZERO,FEUDI DI SAN GREGORIO,2-3,BOTTLE,,70,,,Dosaggio Zero,San Michael,wine_01h4pmmfcm4djtbf7h4rq95vdk,,26.064184
FALSE,SPARKLING,EXTRA BRUT RISERVA DEL FONDATORE TRENTO D.O.C.,GIULIO FERRARI,,BOTTLE,2010,280,,,Trento Brut,Ferrari,wine_01gzr4kscc1yctn7qjymbtk8bc,1367887,34.011047
TRUE,SPARKLING,PAS DOSE' MILLESIMATO ALTO ADIGE D.O.C.,HADERBURG,3-4,BOTTLE,2019,60,,,Pas Dosé Millesimato,Haderburg,wine_01h0f3cmbtcrj6dy2n3hdvwpne,,46.238598
TRUE,SPARKLING,SPUMANTE ALTO ADIGE D.O.C. BRUT,HADERBURG,3-4,BOTTLE,,45,,,Brut,Haderburg,wine_01h0qzm1tsmx0p7drhda7fcn87,,32.052856
FALSE,SPARKLING,MAI SENTITO I.G.T.,LA FRASSINA,FRIGO MESCITA,BOTTLE,,25,,,Mai Sentito!,La Staffa,wine_01h0qzm2qz57r3661eh3cz1jj3,,28.639832
TRUE,SPARKLING,ALTA LANGA BLANC DE BLANCS PAS DOSE' D.O.C.G.,MARCALBERTO,2-6,BOTTLE,2019,55,,,Blanc de Blancs Pas Dosé,Marcalberto,wine_01gzr4ksgasq77axgqdnnybb8z,5534896,49.852478
FALSE,SPARKLING,ALTA LANGA MILLESIMATO EXTRA BRUT D.O.C.G.,MARCALBERTO,2-3,BOTTLE,,50,,,Alta Langa,Marcalberto,wine_01gzr4ksgavg9fj8k92gee20km,5877166,44.419548
FALSE,SPARKLING,ALTA LANGA NATURE D.O.C.G.,MARCALBERTO,,BOTTLE,2019,,,,Alta Langa,Marcalberto,wine_01gzr4ksgavg9fj8k92gee20km,5877166,44.419548
TRUE,SPARKLING,OLTREPO' PAVESE PINOT NERO BRUT CRUASE COSTADELVENTO 24 MESI D.O.C.G. ROSE',MARCHESI DI MONTALTO,2-3,BOTTLE,2017,45,,,Costadelvento Cruasè Brut,Marchesi di Montalto,wine_01h0qzm1169rtrg3v4s1vw0gas,,56.779835
TRUE,SPARKLING,TRENTODOC INKINO BRUT MILLESIMATO D.O.C.,MAS DEI CHINI,2-3,BOTTLE,2018,50,,,Inkino Brut,Mas Dei Chini,wine_01h0qsxnxfyq5n2stwfbcp3t7x,,49.941933
TRUE,SPARKLING,DURELLO SPUMANTE LEON,MASARI,2-5,BOTTLE,,40,,,Leon Durello Naturale,Masari,wine_01gzr4ktrxpznmw0zayewkjq0g,,42.01667
FALSE,SPARKLING,VOUVRAY BRUT ZERO MILLESIMATO,MEUNIER DENIS,2-1,BOTTLE,2018,40,,,Fines Bulles Vouvray Brut Zéro,Denis Meunier,wine_01h4pmmfjy6vwnrnh6chq8v49t,,47.744873
TRUE,SPARKLING,MEDOTO CLASSICO BRUT,MICHELUTTI,3-4 SCATOLA,BOTTLE,,35,,,Metodo Classico Brut,Michelutti,wine_01h4pmmfk4xnz71k35kvpw9b4e,,39.419884
FALSE,SPARKLING,PINOT NERO NATURE BRUT ROSE' OLTREPO' PAVESE,MONSUPELLO,2-5,BOTTLE,,50,,,Nature,Monsupello,wine_01gzr4ksehz8eeggp6qbs0zhqr,1666936,32.42518
TRUE,SPARKLING,PINOT NERO NATURE PAS DOSE' OLTREPO' PAVESE,MONSUPELLO,2-5,BOTTLE,,45,,,Nature,Monsupello,wine_01gzr4ksehz8eeggp6qbs0zhqr,1666936,32.42518
TRUE,SPARKLING,BRUT NERELLO MASCALESE,MURGO,2-4,BOTTLE,2020,40,,,Brut,Murgo,wine_01gzr4ksgv3vmx8wapbfscm24x,1791550,30.300295
TRUE,SPARKLING,SPUMANTE CLASSICO PERLUGO DOSAGGIO ZERO BIO,PIEVALTA,2-3,BOTTLE,,30,,,Perlugo Zero,Pievalta,wine_01h0qzm0e31rd24g0pc7nbntee,,47.456852
FALSE,SPARKLING,ESPUMOSO BRUT NATURE CONTADO DO TEA BLANCO,SENORIO DE RUBIOS,2-1 + SCATOLA,BOTTLE,,50,,,Condado do Tea Blanco Brut,Señorío de Rubiós,wine_01h4pmmfm44nx5zcw38tynrpwf,,44.54678
FALSE,SPARKLING,ALMERITA BRUT,TASCA D’ALMERITA,3-4,BOTTLE,2019,55,,,Prosecco Brut,Tosca,wine_01gzr4kssfhhcn760bdnk9c5dn,1444480,23.430128
TRUE,SPARKLING,SPUMANTE RECIOTO DI GAMBELLARA DOLCED.O.C.G.,VIGNATO VIRGILIO,2-5,BOTTLE,2018,30,,,Recioto di Gambellara Metodo Classico,Virgilio Vignato,wine_01gzr4ksfnda0v5fth98eqjma8,2601078,54.98909
FALSE,SPARKLING,TRENTO DOC BRUT MILLESIMATO FORNERI,ZANOTELLI,2-1 + SCATOLA,BOTTLE,2018,50,,,For 4 Neri Brut,Zanotelli,wine_01h0sq48wg825mqkg3x9pka08c,,28.91668
TRUE,SPARKLING,BOSCO DI GICA BRUT VALDOBIADENE PROSECCO SUPERIORE D.O.C.G.,ADAMI,FRIGO MESCITA,BOTTLE,,30,,,Bosco di Gica Valdobbiadene Prosecco Superiore Brut,Adami,wine_01h0f3cmbp89g7jej0y9waazvt,,46.21747
TRUE,SPARKLING,STEINBOCK FREE SPARKLING,DR. FISCHER,FRIGO MESCITA,BOTTLE,,25,,,Selection Steinbock Alcohol Free Sparkling,Weingut Dr. Fischer,wine_01gzr4kt598v5dfn8ert8tkqq0,,39.293804
TRUE,SPARKLING,PROSECCO SUPERIORE EXTRA DRY,MONGARDA,3-4 + SCATOLA,BOTTLE,,45,,,Valdobbiadene Prosecco Superiore Extra Dry,Mongarda,wine_01h0r2pq895tk2dqzx4ypkbw0d,,43.256752
TRUE,SPARKLING,SPUMANTE COLLI TREVIGIANI I.G.T. COL FONDO,MONGARDA,SCAFFALE,BOTTLE,,30,,,Col Fondo Glera Colli Trevigiani,Mongarda,wine_01h0qzm1hzbtf1wmnf96cwf5ya,,53.971508
TRUE,SPARKLING,PROSECCO SUPERIORE D.O.C.G. ASOLO 4.0 EXTRA BRUT,SCANDOLERA,FRIGO MESCITA,BOTTLE,,25,,,Cuvee 4 Zero Asolo Prosecco Superiore Extra Brut,Scandolera,wine_01h4pmmfdhp806mfd1rqm1g18h,,45.764553
TRUE,SPARKLING,"PROSECCO SUPERIORE D.O.C.G. CONEGLIANO, VALDOBIADENE COSTA D'ORO BRUT",SCANDOLERA,FRIGO MESCITA,BOTTLE,,25,,,Conegliano Valdobbiadene Prosecco Superiore Brut,Scandolera,wine_01h4pmmfzvtxyph2dwc5y9bf5f,,50.36471
TRUE,SPARKLING,"PROSECCO SUPERIORE D.O.C.G. CONEGLIANO, VALDOBIADENE VIGNETI DEL FAIT EXTRA DRY",SCANDOLERA,FRIGO MESCITA,BOTTLE,,25,,,Vigneti del Fait Conegliano Valdobbiadene Prosecco Superiore,Scandolera,wine_01h0qzm041ayk68x67k13r463w,,57.022152
FALSE,SPARKLING,CRÉMANT DE LOIRE BRUT ROSE’,ARNAUD LAMBERT,2-4,BOTTLE,,50,,,Crémant de Loire Brut,Domaine Arnaud Lambert,wine_01h0qzm2w3d6ajr570q7gm54yh,,44.174107
TRUE,SPARKLING,CRÉMANT DE LOIRE BLANC BRUT,ARNAUD LAMBERT,2-4,BOTTLE,,50,,,Crémant de Loire Brut,Domaine Arnaud Lambert,wine_01h0qzm2w3d6ajr570q7gm54yh,,44.174107
TRUE,SPARKLING,CRÉMANT DE LOIRE BRUT PURETÉ DE SILEX,CLOS DE LA BRIDERIE,,BOTTLE,,50,,,Puréte de Silex Crémant de Loire Brut,Clos de la Briderie,wine_01h0qzm2ky8n8shm2qa5c29jga,,60.47526
TRUE,SPARKLING,CREMANT DE JURA BRUT NATURE AOC,DOMAINE PIGNIER,2-2,BOTTLE,,55,,,L’Autre Crémant du Jura Brut Nature,Pignier,wine_01h4pmmgt7yw9fpq8dzqsa0733,,38.580948
TRUE,SPARKLING,CREMANT D’ALSACE BLANC DE BLANCS BRUT DE GRES EXTRA BRUT BIO,DOMAINE ROBERT ROTH,,BOTTLE,2021,50,,,Brut de Grès Crémant Blanc de Blancs Millesime,Domaine Robert Roth,wine_01h4pmmgtdwqv8byn6secy5nxt,,54.897778
FALSE,SPARKLING,CREMANT DU JURA BRUT ZERO DOSAGE,FABRICE & VALERIE CLOSSET,FRIGO MESCITA,BOTTLE,,55,,,Tradition Brut Champagne,Fabrice Moreau,wine_01h4pmmgfsz6eh59jt4gb8tt9d,,24.485563
TRUE,SPARKLING,CREMANT DE BOURGOGNE BLANC DE NOIIRS EXTRA BRUT,LAURENT COGNARD & CO.,,BOTTLE,2018,70,,,Blanc de Noir Extra Brut Zéro,Domaine Laurent Cognard,wine_01h4pmmfk41nmapdsy92wyqfwm,,43.09545
TRUE,SPARKLING,CREMANT D'ALSACE EXTRA BRUT,MEYER FONNET,2-1,BOTTLE,,50,,,Cremant d''Alsace Brut Extra,Meyer-Fonné,wine_01h4pmmfcvxq1ztcqaxgd91g95,,31.14262
FALSE,SPARKLING,CREMANT D'ALSACE EXTRA BRUTCUVEE,PAUL EDUARD,2-1,BOTTLE,,50,,,Crémant d''Alsace Extra Brut,Edgard Schaller,wine_01h4pmmff76ms2amd7tqxmjgs5,,28.54325
TRUE,SPARKLING,CREMANT DE BOURGOGNE BRUT,VEUVE AMBAL,2-2,BOTTLE,,50,,,Crémant de Bourgogne Brut,Veuve Ambal,wine_01gzr4ks5vk1m51fwzdfvaefnr,5844991,44.87352
FALSE,SPARKLING,LES COULLEMETS GRAND CRU,ADRIEN DHONDT,,BOTTLE,2018,380,,,Grande Réserve Blanc de Blancs Brut Champagne Grand Cru,José Dhondt,wine_01h4pmmgfcr78kcyn62dbvhp8g,,28.660536
